Order_ID,Order_Date,Customer_ID,Customer_Name,Gender,City,Region,Product_Category,Product_Name,Quantity,Unit_Price,Discount,Shipping_Cost,Payment_Mode,Sales, Profit ,,
ORD1000,06-08-2023,CUST100,Myra,Male,Delhi,East,Sports,Lipstick,2,7078.64,0.25,223.91,Cash on Delivery,10617.96," ? -2,468.33 ",,
ORD1001,03-03-2024,CUST101,Aadhya,Male,Delhi,West,Toys,Smartphone,4,42983.77,0.29,239.11,Debit Card,122073.91," ? -19,569.08 ",Order_ID,"primary_key ,"
ORD1002,16-01-2023,CUST102,Advika,Female,Chennai,East,Electronics,Watch,1,25102.9,0.29,302.95,UPI,17823.06," ? -4,837.61 ",Order_Date,"date,"
ORD1003,13-06-2023,CUST103,Diya,Female,Delhi,West,Toys,Washing Machine,5,33809.68,0.02,52.64,Cash on Delivery,165667.43," ? 12,060.62 ",Customer_ID,"int (50),"
ORD1004,04-08-2024,CUST104,Myra,Male,Delhi,South,Electronics,T-shirt,1,12105.51,0.25,85.33,Cash on Delivery,9079.13, ? -533.32 ,Customer_Name,"varchar(50),"
ORD1005,16-09-2023,CUST105,Ananya,Female,Chennai,South,Toys,Washing Machine,2,37950.41,0.19,446.57,Credit Card,61479.66," ? -9,026.27 ",Gender,"varchar(50),"
ORD1006,17-09-2023,CUST106,Reyansh,Female,Hyderabad,West,Home Decor,Shoes,5,38048.28,0.19,85.05,Debit Card,154095.53," ? -1,534.38 ",City,"varchar(50),"
ORD1007,05-05-2024,CUST107,Myra,Female,Mumbai,West,Beauty,Toy Car,1,15767.38,0.04,368.06,Cash on Delivery,15136.68," ? 1,650.92 ",Region,"varchar(50),"
ORD1008,12-07-2024,CUST108,Advika,Female,Ahmedabad,South,Beauty,Smartphone,3,20652,0.2,464.02,UPI,49564.8," ? -9,752.89 ",Product_Category,"varchar(50),"
ORD1009,13-04-2024,CUST109,Diya,Female,Bangalore,East,Electronics,Shoes,4,10642.58,0.29,171.81,Cash on Delivery,30224.93," ? -8,721.02 ",Product_Name,"varchar(50),"
ORD1010,01-05-2024,CUST110,Aadhya,Male,Pune,South,Clothing,Headphones,4,48832.74,0.27,216.72,Net Banking,142591.6," ? -12,023.01 ",Quantity,"int (50),"
ORD1011,24-03-2023,CUST111,Advika,Female,Bangalore,East,Sports,Shoes,3,32351.01,0.13,306.01,UPI,84436.14," ? 15,941.99 ",Unit_Price,"numeric (10,2),"
ORD1012,25-10-2023,CUST112,Advika,Male,Bangalore,West,Sports,Watch,2,46740.29,0.01,446.77,UPI,92545.77," ? 12,028.82 ",Discount,"numeric (10,2),"
ORD1013,19-03-2023,CUST113,Reyansh,Female,Kolkata,West,Electronics,Smartphone,5,15308.6,0.11,473.86,Cash on Delivery,68123.27, ? 599.40 ,Shipping_Cost,"numeric (10,2),"
ORD1014,26-09-2024,CUST114,Ishaan,Male,Mumbai,East,Toys,T-shirt,4,39138.17,0.25,382.8,Credit Card,117414.51," ? -18,026.39 ",Payment_Mode,"varchar(50),"
ORD1015,18-10-2023,CUST115,Diya,Female,Kolkata,West,Clothing,Watch,3,38339.76,0.21,88.98,UPI,90865.23," ? -17,567.95 ",Sales,"numeric (10,2),"
ORD1016,27-05-2024,CUST116,Vihaan,Male,Mumbai,East,Home Decor,Watch,3,34644.45,0.14,351.12,Net Banking,89382.68," ? -6,144.65 ",Profit,"numeric (10,2),"
ORD1017,02-09-2023,CUST117,Advika,Female,Chennai,North,Toys,Toy Car,2,48288.82,0.02,234.64,Credit Card,94646.09," ? 15,970.33 ",,
ORD1018,03-02-2024,CUST118,Ishaan,Male,Chennai,South,Toys,Toy Car,2,19799.06,0.13,261.82,Credit Card,34450.36," ? 5,847.60 ",,
ORD1019,01-03-2024,CUST119,Vihaan,Female,Ahmedabad,North,Electronics,Lipstick,1,6709.72,0.14,72.12,Credit Card,5770.36, ? 202.88 ,,
ORD1020,28-05-2024,CUST120,Diya,Male,Mumbai,East,Electronics,Lipstick,4,33651.1,0.28,135.98,UPI,96915.17," ? -20,637.71 ",,
ORD1021,20-07-2023,CUST121,Aarav,Female,Delhi,South,Sports,Cricket Bat,1,36519.63,0.19,405.73,Credit Card,29580.9," ? -1,936.91 ",,
ORD1022,10-08-2023,CUST122,Ananya,Male,Hyderabad,East,Electronics,Sofa,3,28838.02,0.09,254.28,Cash on Delivery,78727.79," ? 6,274.56 ",,
ORD1023,12-06-2023,CUST123,Ishaan,Male,Ahmedabad,South,Electronics,Smartphone,5,10499.53,0.16,185.75,Credit Card,44098.03," ? 1,010.95 ",,
ORD1024,10-01-2023,CUST124,Kabir,Female,Ahmedabad,South,Electronics,Smartphone,5,25321.91,0.02,222.81,Net Banking,124077.36," ? 25,929.60 ",,
ORD1025,01-06-2024,CUST125,Aarav,Female,Delhi,South,Sports,Shoes,2,15747.05,0.29,434.48,Debit Card,22360.81," ? -2,303.24 ",,
ORD1026,19-07-2023,CUST126,Ananya,Male,Hyderabad,South,Home Decor,Smartphone,5,21487.83,0.11,387.05,Net Banking,95620.84," ? 6,590.27 ",,
ORD1027,09-10-2023,CUST127,Reyansh,Female,Kolkata,East,Home Decor,Smartphone,5,32331.89,0.14,172.54,UPI,139027.13," ? 19,202.22 ",,
ORD1028,21-07-2024,CUST128,Myra,Male,Hyderabad,South,Electronics,Sofa,5,37311.69,0.11,102.88,Credit Card,166037.02," ? 19,453.79 ",,
ORD1029,08-07-2024,CUST129,Aadhya,Male,Kolkata,South,Sports,Headphones,3,11764.79,0.2,163.4,Credit Card,28235.5, ? 507.38 ,,
ORD1030,04-09-2023,CUST130,Kabir,Male,Chennai,North,Home Decor,Lipstick,5,20385.2,0.2,464.34,Cash on Delivery,81540.8," ? -5,232.76 ",,
ORD1031,12-02-2023,CUST131,Reyansh,Female,Bangalore,West,Toys,Lipstick,5,13604.25,0.21,311.71,Credit Card,53736.79," ? 4,676.25 ",,
ORD1032,14-11-2023,CUST132,Diya,Male,Chennai,West,Home Decor,T-shirt,5,10091.85,0.08,290.07,Net Banking,46422.51, ? 344.85 ,,
ORD1033,27-03-2024,CUST133,Reyansh,Male,Chennai,North,Home Decor,Smartphone,1,39212.68,0.09,318.38,UPI,35683.54," ? 2,403.19 ",,
ORD1034,22-01-2023,CUST134,Myra,Female,Bangalore,North,Sports,Sofa,3,45480.78,0.04,214.71,Debit Card,130984.65," ? 12,378.01 ",,
ORD1035,17-11-2023,CUST135,Diya,Female,Hyderabad,East,Toys,Lipstick,2,18637.56,0.2,413.2,Credit Card,29820.1," ? -3,237.66 ",,
ORD1036,25-12-2023,CUST136,Kabir,Female,Ahmedabad,East,Sports,Sofa,1,37613.69,0.01,285.48,Debit Card,37237.55," ? 7,881.54 ",,
ORD1037,29-05-2024,CUST137,Myra,Female,Hyderabad,East,Electronics,Washing Machine,4,44870.37,0.18,102.54,Credit Card,147174.81, ? 329.49 ,,
ORD1038,08-10-2023,CUST138,Vihaan,Male,Kolkata,North,Beauty,Headphones,3,42336.99,0.26,108.08,UPI,93988.12," ? -25,391.07 ",,
ORD1039,17-08-2023,CUST139,Aadhya,Male,Delhi,North,Home Decor,Smartphone,3,9304.11,0.27,291.59,Net Banking,20376," ? -4,804.35 ",,
ORD1040,03-05-2023,CUST140,Kabir,Male,Kolkata,South,Beauty,T-shirt,4,47823.34,0.13,471.46,UPI,166425.22," ? -14,319.04 ",,
ORD1041,11-02-2024,CUST141,Vihaan,Male,Delhi,East,Sports,Shoes,4,18958.49,0.14,188.76,Debit Card,65217.21," ? -2,203.18 ",,
ORD1042,19-05-2023,CUST142,Ananya,Female,Chennai,East,Sports,Lipstick,4,17094.18,0.02,441.29,Credit Card,67009.19," ? 15,702.46 ",,
ORD1043,15-06-2024,CUST143,Kabir,Male,Bangalore,East,Sports,Washing Machine,2,3309.08,0.2,393.84,Debit Card,5294.53, ? 161.20 ,,
ORD1044,27-01-2023,CUST144,Ananya,Male,Chennai,West,Beauty,Sofa,5,24411.45,0.25,161.52,Net Banking,91542.94," ? -11,685.60 ",,
ORD1045,04-03-2023,CUST145,Diya,Female,Mumbai,South,Sports,Toy Car,3,5628.88,0.07,66.35,UPI,15704.58," ? 2,307.02 ",,
